CARRETERA,YEAR,n_total,n_bad_surface,RCII_pct,imd_road_mean,road_passages,RCII_rate_per100M,RCII_level
M-206,2024,19,0,0.0,23239.0,8482235.0,0.0,Low
M-208,2016,15,0,0.0,,,,Low
M-208,2017,10,0,0.0,,,,Low
M-208,2018,12,0,0.0,10618.666666666666,3875813.333333333,0.0,Low
M-208,2019,14,0,0.0,10018.0,3656570.0,0.0,Low
M-208,2020,11,0,0.0,,,,Low
M-208,2021,18,1,5.5556,12729.5,4646267.5,21.522652322536317,Medium
M-208,2022,20,0,0.0,14850.5,5420432.5,0.0,Low
M-208,2023,12,0,0.0,14702.0,5366230.0,0.0,Low
M-208,2024,20,1,5.0,15089.25,5507576.25,18.15680717992783,Low
M-209,2016,1,0,0.0,,,,Low
M-209,2017,7,0,0.0,,,,Low
M-209,2018,5,0,0.0,8332.5,3041362.5,0.0,Low
M-209,2019,9,0,0.0,8612.0,3143380.0,0.0,Low
M-209,2020,6,0,0.0,,,,Low
M-209,2021,11,2,18.1818,8758.5,3196852.5,62.56153513494914,High
M-209,2022,7,0,0.0,8641.0,3153965.0,0.0,Low
M-209,2023,9,0,0.0,8768.5,3200502.5,0.0,Low
M-209,2024,8,0,0.0,9151.0,3340115.0,0.0,Low
M-21,2016,21,1,4.7619,,,,Low
M-21,2017,25,2,8.0,,,,Medium
M-21,2018,25,0,0.0,,,,Low
M-21,2019,18,0,0.0,,,,Low
M-21,2020,11,0,0.0,,,,Low
M-21,2021,24,0,0.0,,,,Low
M-21,2022,27,0,0.0,,,,Low
M-21,2023,21,1,4.7619,,,,Low
M-21,2024,15,0,0.0,,,,Low
M-213,2017,4,0,0.0,,,,Low
M-213,2018,2,0,0.0,3252.0,1186980.0,0.0,Low
M-213,2019,4,0,0.0,2767.0,1009955.0,0.0,Low
M-213,2020,3,0,0.0,,,,Low
M-213,2021,3,0,0.0,2611.5,953197.5,0.0,Low
M-213,2022,2,0,0.0,1609.0,587285.0,0.0,Low
M-213,2023,3,0,0.0,2882.5,1052112.5,0.0,Low
M-213,2024,3,0,0.0,2204.0,804460.0,0.0,Low
M-215,2017,1,0,0.0,,,,Low
M-215,2020,1,0,0.0,,,,Low
M-215,2023,4,1,25.0,3074.0,1122010.0,89.12576536751008,High
M-215,2024,2,0,0.0,2935.0,1071275.0,0.0,Low
M-217,2016,1,0,0.0,,,,Low
M-217,2017,3,0,0.0,,,,Low
M-217,2018,4,1,25.0,6573.0,2399145.0,41.68151570663716,High
M-217,2019,4,0,0.0,6731.0,2456815.0,0.0,Low
M-217,2020,3,0,0.0,,,,Low
M-217,2021,4,0,0.0,6797.0,2480905.0,0.0,Low
M-217,2022,4,0,0.0,6706.0,2447690.0,0.0,Low
M-217,2023,3,0,0.0,7207.0,2630555.0,0.0,Low
M-217,2024,3,0,0.0,6988.0,2550620.0,0.0,Low
M-219,2016,6,0,0.0,,,,Low
M-219,2017,3,0,0.0,,,,Low
M-219,2018,8,0,0.0,2175.75,794148.75,0.0,Low
M-219,2019,10,0,0.0,2173.0,793145.0,0.0,Low
M-219,2021,2,1,50.0,2046.0,746790.0,133.90645295196776,High
M-219,2022,12,0,0.0,2065.75,753998.75,0.0,Low
M-219,2023,8,1,12.5,2157.75,787578.75,126.97142984114288,Medium
M-219,2024,4,0,0.0,2171.25,792506.25,0.0,Low
M-22,2016,4,0,0.0,,,,Low
M-22,2017,1,0,0.0,,,,Low
M-22,2018,1,0,0.0,,,,Low
M-22,2019,1,0,0.0,,,,Low
M-22,2020,1,0,0.0,,,,Low
M-22,2022,1,0,0.0,,,,Low
M-22,2023,2,0,0.0,,,,Low
M-22,2024,1,0,0.0,,,,Low
M-220,2016,6,1,16.6667,,,,High
M-220,2017,4,0,0.0,,,,Low
M-220,2018,3,1,33.3333,2479.4,904981.0,110.49955744927242,High
M-220,2019,2,0,0.0,2614.0,954110.0,0.0,Low
M-220,2020,3,0,0.0,,,,Low
M-220,2021,3,0,0.0,2669.8,974477.0000000001,0.0,Low
M-220,2022,10,0,0.0,2715.0,990975.0,0.0,Low
M-220,2023,5,0,0.0,2869.4,1047331.0,0.0,Low
M-220,2024,6,0,0.0,2996.4,1093686.0,0.0,Low
M-221,2016,3,0,0.0,,,,Low
M-221,2017,6,0,0.0,,,,Low
M-221,2018,1,0,0.0,1122.0,409530.0,0.0,Low
M-221,2019,5,0,0.0,1455.0,531075.0,0.0,Low
M-221,2020,1,0,0.0,,,,Low
M-221,2021,4,2,50.0,1437.4,524651.0,381.2057920408043,High
M-221,2022,4,0,0.0,1615.5,589657.5,0.0,Low
M-221,2023,8,0,0.0,1356.0,494940.0,0.0,Low
M-221,2024,7,0,0.0,1498.0,546770.0,0.0,Low
M-222,2016,1,0,0.0,,,,Low
M-222,2017,2,0,0.0,,,,Low
M-222,2018,1,0,0.0,769.3333333333334,280806.6666666667,0.0,Low
M-222,2019,3,0,0.0,1150.6666666666667,419993.3333333334,0.0,Low
M-222,2020,3,0,0.0,,,,Low
M-222,2022,1,0,0.0,845.6666666666666,308668.3333333333,0.0,Low
M-222,2023,3,1,33.3333,832.0,303680.0,329.29399367755536,High
M-222,2024,2,0,0.0,797.3333333333334,291026.6666666667,0.0,Low
M-224,2016,6,0,0.0,,,,Low
M-224,2017,5,0,0.0,,,,Low
M-224,2018,12,0,0.0,4899.142857142857,1788187.1428571427,0.0,Low
M-224,2019,10,0,0.0,5081.142857142857,1854617.1428571427,0.0,Low
M-224,2020,6,0,0.0,,,,Low
M-224,2021,11,0,0.0,5306.142857142857,1936742.1428571427,0.0,Low
M-224,2022,6,0,0.0,3581.6666666666665,1307308.3333333333,0.0,Low
M-224,2023,15,0,0.0,5771.142857142857,2106467.1428571427,0.0,Low
M-224,2024,9,0,0.0,6024.142857142857,2198812.1428571427,0.0,Low
M-225,2016,5,0,0.0,,,,Low
M-225,2017,4,0,0.0,,,,Low
M-225,2018,10,0,0.0,2732.0,997180.0,0.0,Low
M-225,2019,5,1,20.0,2992.1666666666665,1092140.8333333333,91.5632828183789,High
M-225,2020,3,0,0.0,,,,Low
M-225,2021,6,0,0.0,2938.1666666666665,1072430.8333333333,0.0,Low
M-225,2022,7,0,0.0,2918.25,1065161.25,0.0,Low
M-225,2023,3,0,0.0,3014.1666666666665,1100170.8333333333,0.0,Low
M-225,2024,4,0,0.0,3184.8333333333335,1162464.1666666667,0.0,Low
M-226,2016,1,0,0.0,,,,Low
M-226,2017,7,0,0.0,,,,Low
M-226,2018,7,0,0.0,5222.0,1906030.0,0.0,Low
M-226,2019,6,0,0.0,5423.0,1979395.0,0.0,Low
M-226,2020,4,0,0.0,,,,Low
M-226,2021,7,1,14.2857,5511.5,2011697.5,49.70926294833095,Medium
M-226,2022,3,0,0.0,5839.5,2131417.5,0.0,Low
M-226,2023,9,0,0.0,5939.0,2167735.0,0.0,Low
M-226,2024,3,0,0.0,6015.5,2195657.5,0.0,Low
M-227,2020,1,0,0.0,,,,Low
M-228,2020,1,0,0.0,,,,Low
M-229,2016,4,0,0.0,,,,Low
M-229,2017,4,0,0.0,,,,Low
M-229,2018,3,0,0.0,1018.0,371570.0,0.0,Low
M-229,2019,5,0,0.0,1097.6,400623.99999999994,0.0,Low
M-229,2020,2,0,0.0,,,,Low
M-229,2021,2,0,0.0,1109.6,405003.99999999994,0.0,Low
M-229,2022,1,0,0.0,996.6,363759.0,0.0,Low
M-229,2023,2,1,50.0,1042.0,380330.0,262.9295611705624,High
M-229,2024,3,0,0.0,1113.4,406391.00000000006,0.0,Low
M-23,2016,3,0,0.0,,,,Low
M-23,2017,2,0,0.0,,,,Low
M-23,2018,1,0,0.0,,,,Low
M-23,2019,2,0,0.0,,,,Low
M-23,2020,1,0,0.0,,,,Low
M-23,2021,2,0,0.0,,,,Low
M-23,2024,1,0,0.0,,,,Low
M-231,2016,1,0,0.0,,,,Low
M-231,2017,1,0,0.0,,,,Low
M-231,2018,1,0,0.0,327.0,119355.0,0.0,Low
M-231,2019,2,1,50.0,361.0,131765.0,758.926877395363,High
M-231,2020,2,0,0.0,,,,Low
M-231,2021,2,0,0.0,360.0,131400.0,0.0,Low
M-231,2022,2,0,0.0,384.0,140160.0,0.0,Low
M-231,2023,4,0,0.0,400.0,146000.0,0.0,Low
M-231,2024,1,0,0.0,431.0,157315.0,0.0,Low
M-233,2016,1,0,0.0,,,,Low
M-233,2017,1,0,0.0,,,,Low
M-233,2018,1,0,0.0,2501.0,912865.0,0.0,Low
M-233,2020,1,0,0.0,,,,Low
M-233,2021,6,0,0.0,2738.0,999370.0,0.0,Low
M-233,2022,3,0,0.0,2415.0,881475.0,0.0,Low
M-233,2023,2,0,0.0,2566.0,936590.0,0.0,Low
M-233,2024,1,0,0.0,2499.0,912135.0,0.0,Low
M-234,2016,1,0,0.0,,,,Low
M-234,2018,1,0,0.0,197.0,71905.0,0.0,Low
M-234,2019,1,0,0.0,217.0,79205.0,0.0,Low
M-234,2020,2,1,50.0,,,,High
M-234,2023,1,0,0.0,264.0,96360.0,0.0,Low
M-234,2024,2,0,0.0,339.0,123735.0,0.0,Low
M-235,2016,1,0,0.0,,,,Low
M-235,2017,2,0,0.0,,,,Low
M-235,2018,1,0,0.0,5306.0,1936690.0,0.0,Low
M-235,2019,6,0,0.0,6648.0,2426520.0,0.0,Low
M-235,2021,2,0,0.0,6819.0,2488935.0,0.0,Low
M-235,2022,4,0,0.0,7196.0,2626540.0,0.0,Low
M-235,2024,2,0,0.0,7713.0,2815245.0,0.0,Low
M-236,2018,1,0,0.0,,,,Low
M-237,2021,1,0,0.0,,,,Low
M-237,2024,1,0,0.0,,,,Low
M-240,2016,3,0,0.0,,,,Low
M-240,2018,1,0,0.0,1861.0,679265.0,0.0,Low
M-240,2019,1,0,0.0,1975.0,720875.0,0.0,Low
M-240,2020,1,0,0.0,,,,Low
M-240,2022,2,0,0.0,2317.0,845705.0,0.0,Low
M-240,2023,1,0,0.0,2380.0,868700.0,0.0,Low
M-240,2024,1,0,0.0,2477.0,904105.0,0.0,Low
M-241,2016,1,0,0.0,,,,Low
M-241,2017,1,0,0.0,,,,Low
M-241,2018,2,0,0.0,996.5,363722.5,0.0,Low
M-241,2019,1,0,0.0,1428.5,521402.5,0.0,Low
M-241,2020,1,0,0.0,,,,Low
M-241,2022,2,0,0.0,1363.5,497677.5,0.0,Low
M-241,2023,2,1,50.0,1554.0,567210.0,176.30154616455988,High
M-241,2024,4,0,0.0,1423.5,519577.5,0.0,Low
M-300,2016,38,0,0.0,,,,Low
M-300,2017,34,0,0.0,,,,Low
M-300,2018,33,2,6.0606,17316.0,6320340.0,31.643867260305615,Medium
M-300,2019,43,2,4.6512,17550.14285714286,6405802.142857144,31.221694885317692,Low
M-300,2020,39,3,7.6923,,,,Medium
M-300,2021,27,0,0.0,15513.57142857143,5662453.571428572,0.0,Low
M-300,2022,40,0,0.0,11447.25,4178246.25,0.0,Low
M-300,2023,42,0,0.0,15459.57142857143,5642743.571428572,0.0,Low
M-300,2024,39,1,2.5641,16224.857142857143,5922072.857142857,16.885979354236728,Low
M-301,2016,8,0,0.0,,,,Low
M-301,2017,15,0,0.0,,,,Low
M-301,2018,11,0,0.0,5639.666666666667,2058478.3333333335,0.0,Low
M-301,2019,18,0,0.0,5774.666666666667,2107753.3333333335,0.0,Low
M-301,2020,14,2,14.2857,,,,Medium
M-301,2021,18,3,16.6667,5460.0,1992900.0,150.5343971097396,High
M-301,2022,20,3,15.0,5830.0,2127950.0,140.9807561267887,Medium
M-301,2023,13,0,0.0,5257.0,1918805.0,0.0,Low
M-301,2024,14,3,21.4286,5285.666666666667,1929268.3333333335,155.4993646123185,High
M-302,2016,5,0,0.0,,,,Low
M-302,2017,5,0,0.0,,,,Low
M-302,2018,6,0,0.0,1895.6666666666667,691918.3333333334,0.0,Low
M-302,2019,5,0,0.0,1951.3333333333333,712236.6666666666,0.0,Low
M-302,2020,2,0,0.0,,,,Low
M-302,2021,4,0,0.0,2163.3333333333335,789616.6666666667,0.0,Low
M-302,2022,6,0,0.0,2091.3333333333335,763336.6666666667,0.0,Low
M-302,2023,5,0,0.0,1972.3333333333333,719901.6666666666,0.0,Low
M-302,2024,4,0,0.0,2049.3333333333335,748006.6666666667,0.0,Low
M-305,2016,4,0,0.0,,,,Low
M-305,2017,9,0,0.0,,,,Low
M-305,2018,10,1,10.0,7947.0,2900655.0,34.47497203217894,Medium
M-305,2019,10,1,10.0,8294.0,3027310.0,33.03262632502122,Medium
M-305,2020,7,0,0.0,,,,Low
M-305,2021,4,0,0.0,7697.0,2809405.0,0.0,Low
M-305,2022,3,0,0.0,9692.0,3537580.0,0.0,Low
M-305,2023,4,0,0.0,7524.75,2746533.75,0.0,Low
M-305,2024,4,0,0.0,7634.25,2786501.25,0.0,Low
M-305 RE,2021,1,0,0.0,,,,Low
M-305A,2016,3,0,0.0,,,,Low
M-305A,2017,8,0,0.0,,,,Low
M-305A,2018,2,0,0.0,3678.0,1342470.0,0.0,Low
M-305A,2019,8,0,0.0,3869.0,1412185.0,0.0,Low
M-305A,2020,2,0,0.0,,,,Low
M-305A,2021,5,0,0.0,3752.0,1369480.0,0.0,Low
M-305A,2022,4,0,0.0,3842.0,1402330.0,0.0,Low
M-305A,2023,1,0,0.0,3884.0,1417660.0,0.0,Low
M-305A,2024,1,0,0.0,3843.0,1402695.0,0.0,Low
M-305RE,2021,3,0,0.0,,,,Low
M-305RE,2022,12,0,0.0,,,,Low
M-305RE,2023,6,1,16.6667,,,,High
M-305RE,2024,8,1,12.5,,,,Medium
M-307,2016,2,0,0.0,,,,Low
M-307,2017,4,0,0.0,,,,Low
M-307,2018,10,1,10.0,4982.0,1818430.0,54.992493524633886,Medium
M-307,2019,5,0,0.0,5006.333333333333,1827311.6666666665,0.0,Low
M-307,2020,3,0,0.0,,,,Low
M-307,2021,4,0,0.0,4747.0,1732655.0,0.0,Low
M-307,2022,7,0,0.0,4674.666666666667,1706253.3333333335,0.0,Low
M-307,2023,12,1,8.3333,4887.333333333333,1783876.6666666665,56.05768709720217,Medium
M-307,2024,2,0,0.0,5104.666666666667,1863203.3333333335,0.0,Low
M-31,2016,4,0,0.0,,,,Low
M-31,2017,2,0,0.0,,,,Low
M-31,2019,7,0,0.0,,,,Low
M-31,2020,2,0,0.0,,,,Low
M-31,2021,4,0,0.0,,,,Low
M-31,2022,3,0,0.0,,,,Low
M-31,2023,2,0,0.0,,,,Low
M-31,2024,5,1,20.0,,,,High
M-311,2016,9,0,0.0,,,,Low
M-311,2017,5,0,0.0,,,,Low
M-311,2018,3,0,0.0,2218.0,809570.0,0.0,Low
M-311,2019,15,0,0.0,2929.75,1069358.75,0.0,Low
M-311,2020,2,0,0.0,,,,Low
M-311,2021,9,0,0.0,2899.75,1058408.75,0.0,Low
M-311,2022,9,0,0.0,3015.5,1100657.5,0.0,Low
M-311,2023,7,0,0.0,3009.5,1098467.5,0.0,Low
M-311,2024,2,0,0.0,3062.75,1117903.75,0.0,Low
M-313,2016,2,0,0.0,,,,Low
M-313,2017,4,0,0.0,,,,Low
M-313,2018,3,0,0.0,2047.3333333333333,747276.6666666666,0.0,Low
M-313,2019,7,1,14.2857,2113.3333333333335,771366.6666666667,129.64003284214164,Medium
M-313,2020,4,0,0.0,,,,Low
M-313,2021,2,0,0.0,2103.3333333333335,767716.6666666667,0.0,Low
M-313,2022,8,1,12.5,2059.0,751535.0,133.06100181628267,Medium
M-313,2023,6,0,0.0,2643.0,964695.0,0.0,Low
M-313,2024,5,1,20.0,2332.0,851180.0,117.48396343899057,High
M-313RE,2024,1,0,0.0,,,,Low
M-315,2016,1,0,0.0,,,,Low
M-315,2017,2,0,0.0,,,,Low
M-315,2019,2,0,0.0,997.5,364087.5,0.0,Low
M-315,2021,1,0,0.0,1007.5,367737.5,0.0,Low
M-315,2022,1,1,100.0,845.5,308607.5,324.03619484296394,High
M-315,2023,3,2,66.6667,1077.0,393105.0,508.7699215222396,High
M-315,2024,1,0,0.0,1210.0,441650.0,0.0,Low
M-316,2017,2,0,0.0,,,,Low
M-316,2018,1,0,0.0,184.0,67160.0,0.0,Low
M-316,2019,4,0,0.0,750.0,273750.0,0.0,Low
M-316,2020,1,0,0.0,,,,Low
M-316,2021,2,0,0.0,599.5,218817.5,0.0,Low
M-316,2022,3,0,0.0,766.0,279590.0,0.0,Low
M-316,2023,1,0,0.0,654.0,238710.0,0.0,Low
M-317,2016,3,0,0.0,,,,Low
M-317,2017,2,0,0.0,,,,Low
M-317,2018,3,0,0.0,2210.0,806650.0,0.0,Low
M-317,2021,3,0,0.0,3132.0,1143180.0,0.0,Low
M-317,2022,2,0,0.0,3003.0,1096095.0,0.0,Low
M-317,2023,1,0,0.0,2818.0,1028570.0,0.0,Low
M-317,2024,1,0,0.0,2124.0,775260.0,0.0,Low
M-317A,2018,1,0,0.0,,,,Low
M-317A,2020,1,0,0.0,,,,Low
M-318,2016,3,0,0.0,,,,Low
M-318,2017,6,0,0.0,,,,Low
M-318,2018,6,0,0.0,2357.0,860305.0,0.0,Low
M-318,2019,7,0,0.0,2151.0,785115.0,0.0,Low
M-318,2020,9,0,0.0,,,,Low
M-318,2021,8,0,0.0,2510.0,916150.0,0.0,Low
M-318,2022,7,0,0.0,1116.0,407340.0,0.0,Low
M-318,2023,4,0,0.0,2266.0,827090.0,0.0,Low
M-318,2024,7,0,0.0,2375.0,866875.0,0.0,Low
M-319,2023,1,0,0.0,72.0,26280.0,0.0,Low
M-320,2016,3,0,0.0,,,,Low
M-320,2017,7,1,14.2857,,,,Medium
M-320,2018,3,0,0.0,1920.0,700800.0,0.0,Low
M-320,2019,5,0,0.0,1217.0,444205.0,0.0,Low
M-320,2020,3,0,0.0,,,,Low
M-320,2021,5,0,0.0,1245.0,454425.0,0.0,Low
M-320,2022,2,0,0.0,1215.0,443475.0,0.0,Low
M-320,2023,12,0,0.0,1256.5,458622.5,0.0,Low
M-320,2024,9,0,0.0,1312.5,479062.5,0.0,Low
M-321,2017,1,0,0.0,,,,Low
M-321,2018,1,0,0.0,,,,Low
M-321,2019,2,0,0.0,1093.0,398945.0,0.0,Low
M-321,2020,1,0,0.0,,,,Low
M-321,2022,1,0,0.0,1063.0,387995.0,0.0,Low
M-321,2023,1,0,0.0,1157.0,422305.0,0.0,Low
M-321,2024,4,0,0.0,1345.0,490925.0,0.0,Low
M-322,2022,1,0,0.0,1162.0,424130.0,0.0,Low
M-323,2022,1,0,0.0,428.0,156220.0,0.0,Low
M-324,2019,1,0,0.0,264.0,96360.0,0.0,Low
M-325,2020,1,0,0.0,,,,Low
M-325,2022,2,0,0.0,93.0,33945.0,0.0,Low
M-326,2017,1,0,0.0,,,,Low
M-326,2019,1,0,0.0,524.0,191260.0,0.0,Low
M-326,2020,1,0,0.0,,,,Low
M-327,2016,1,0,0.0,,,,Low
M-327,2017,1,1,100.0,,,,High
M-328,2017,1,0,0.0,,,,Low
M-40,2016,241,1,0.4149,,,,Low
M-40,2017,295,0,0.0,,,,Low
M-40,2018,320,5,1.5625,,,,Low
M-40,2019,257,1,0.3891,,,,Low
M-40,2020,137,2,1.4599,,,,Low
M-40,2021,218,0,0.0,,,,Low
M-40,2022,276,3,1.087,,,,Low
M-40,2023,242,1,0.4132,,,,Low
M-40,2024,239,3,1.2552,,,,Low
M-402,2018,1,0,0.0,,,,Low
M-404,2016,35,0,0.0,,,,Low
M-404,2017,34,3,8.8235,,,,Medium
M-404,2018,52,2,3.8462,9246.454545454546,3374955.909090909,59.26003343073977,Low
M-404,2019,39,1,2.5641,9187.7,3353510.5000000005,29.819498105045437,Low
M-404,2020,40,2,5.0,,,,Low
M-404,2021,43,3,6.9767,9378.09090909091,3423003.181818182,87.6423374636334,Medium
M-404,2022,47,5,10.6383,10266.7,3747345.5000000005,133.4277824129107,Medium
M-404,2023,57,2,3.5088,9607.09090909091,3506588.181818182,57.03549707861591,Low
M-404,2024,48,0,0.0,9281.0,3387565.0,0.0,Low
M-405,2016,8,0,0.0,,,,Low
M-405,2017,8,0,0.0,,,,Low
M-405,2018,14,0,0.0,9542.0,3482830.0,0.0,Low
M-405,2019,11,0,0.0,9292.0,3391580.0,0.0,Low
M-405,2020,9,0,0.0,,,,Low
M-405,2021,7,0,0.0,8677.0,3167105.0,0.0,Low
M-405,2022,8,0,0.0,8947.5,3265837.5,0.0,Low
M-405,2023,8,0,0.0,8444.5,3082242.5,0.0,Low
M-405,2024,12,0,0.0,9183.0,3351795.0,0.0,Low
M-406,2016,22,0,0.0,,,,Low
M-406,2017,23,0,0.0,,,,Low
M-406,2018,32,1,3.125,33744.75,12316833.75,8.118969698685751,Low
M-406,2019,28,1,3.5714,32247.8,11770447.0,8.49585406569521,Low
M-406,2020,18,2,11.1111,,,,Medium
M-406,2021,25,3,12.0,31553.4,11516991.0,26.048470472886535,Medium
M-406,2022,25,0,0.0,32701.6,11936084.0,0.0,Low
M-406,2023,22,2,9.0909,32381.2,11819138.0,16.921707826746754,Medium
M-406,2024,18,1,5.5556,32949.8,12026677.000000002,8.314848731698705,Medium
M-407,2016,23,1,4.3478,,,,Low
M-407,2017,25,0,0.0,,,,Low
M-407,2018,22,0,0.0,56681.0,20688565.0,0.0,Low
M-407,2019,34,1,2.9412,56032.0,20451680.0,4.889573863858617,Low
M-407,2020,15,0,0.0,,,,Low
M-407,2021,20,1,5.0,41459.5,15132717.5,6.6081984283391275,Low
M-407,2022,20,1,5.0,46976.0,17146240.0,5.8321824493299985,Low
M-407,2023,10,0,0.0,39432.0,14392680.0,0.0,Low
M-407,2024,21,0,0.0,41208.5,15041102.5,0.0,Low
M-408,2016,10,0,0.0,,,,Low
M-408,2017,22,1,4.5455,,,,Low
M-408,2018,16,0,0.0,,,,Low
M-408,2019,15,0,0.0,24418.0,8912570.0,0.0,Low
M-408,2020,5,0,0.0,,,,Low
M-408,2021,12,0,0.0,21300.0,7774500.0,0.0,Low
M-408,2022,17,0,0.0,19886.0,7258390.0,0.0,Low
